Recipe ID,Recipe Name,Ingredients,Steps,Cuisine,Preparation Time
R001,Spaghetti Carbonara,"Spaghetti, Eggs, Parmesan cheese, Pancetta, Black pepper","1. Boil spaghetti. 2. Cook pancetta. 3. Mix eggs and cheese. 4. Combine all with pepper.","Italian",25
R002,Chicken Curry,"Chicken, Onions, Tomatoes, Garlic, Ginger, Spices, Coconut milk","1. Sauté onions, garlic, and ginger. 2. Add chicken and spices. 3. Add tomatoes and coconut milk. 4. Simmer until cooked.","Indian",40
R003,Fried Rice,"Rice, Eggs, Carrots, Peas, Soy sauce, Green onions","1. Cook rice. 2. Scramble eggs. 3. Stir-fry veggies and rice. 4. Add soy sauce and mix.","Chinese",30
R004,Margherita Pizza,"Pizza dough, Tomatoes, Mozzarella, Basil, Olive oil","1. Prepare dough. 2. Spread sauce and cheese. 3. Bake. 4. Add basil and olive oil.","Italian",20
R005,Vegetable Stir Fry,"Broccoli, Bell peppers, Carrots, Soy sauce, Olive oil, Garlic","1. Chop veggies. 2. Stir-fry with garlic. 3. Add soy sauce and cook.","Chinese",25
R006,Grilled Cheese Sandwich,"Bread, Butter, Cheese","1. Butter bread. 2. Place cheese between slices. 3. Grill until golden.","American",10
R007,Beef Tacos,"Ground beef, Taco shells, Lettuce, Cheese, Salsa, Sour cream","1. Cook beef. 2. Fill taco shells with beef and toppings.","Mexican",20
R008,Vegetable Soup,"Carrots, Potatoes, Celery, Onion, Tomatoes, Garlic, Vegetable broth","1. Chop veggies. 2. Sauté onions and garlic. 3. Add other veggies and broth. 4. Simmer until tender.","American",45
R009,Chicken Caesar Salad,"Chicken, Romaine lettuce, Croutons, Caesar dressing, Parmesan cheese","1. Cook chicken. 2. Toss with lettuce, croutons, and dressing. 3. Top with cheese.","American",25
R010,Lasagna,"Lasagna noodles, Ground beef, Marinara sauce, Ricotta, Mozzarella, Parmesan, Garlic, Onions","1. Boil noodles. 2. Cook beef with onions and garlic. 3. Layer noodles, sauce, and cheese. 4. Bake.","Italian",60
R011,Shakshuka,"Tomatoes, Eggs, Onion, Garlic, Bell peppers, Spices","1. Sauté veggies and spices. 2. Add tomatoes and cook. 3. Crack eggs on top and simmer.","Middle Eastern",30
R012,Chicken Alfredo,"Chicken, Fettuccine, Heavy cream, Parmesan cheese, Garlic, Butter","1. Cook fettuccine. 2. Sauté chicken and garlic. 3. Add cream and cheese to make sauce. 4. Mix with pasta.","Italian",35
R013,Tom Yum Soup,"Shrimp, Lemongrass, Lime leaves, Fish sauce, Chili, Garlic, Ginger, Mushrooms","1. Boil broth with herbs. 2. Add shrimp and mushrooms. 3. Cook until shrimp are done.","Thai",30
R014,Beef Stroganoff,"Beef, Mushrooms, Onion, Sour cream, Beef broth, Butter, Flour","1. Cook beef and mushrooms. 2. Make sauce with broth and sour cream. 3. Serve with noodles.","Russian",45
R015,Banana Bread,"Bananas, Flour, Sugar, Eggs, Butter, Baking soda, Vanilla","1. Mash bananas. 2. Mix ingredients. 3. Bake until golden.","American",60
